,url,title,subtitle,content,datetime,tag
0,https://lenta.ru/news/2024/12/24/posol-zayavil-ob-otsutstvii-sdvigov-v-rassledovanii-podryvov-severnyh-potokov/,Посол заявил об отсутствии сдвигов в расследовании подрывов «Северных потоков»,Посол Нечаев заявил об отсутствии сдвигов в расследовании подрывов «Севпотоков»,"Прогресса в расследовании подрывов газопроводов «Северные потоки» нет. Об этом заявил «Известиям» посол РФ в Германии Сергей Нечаев.По его словам, власти ФРГ никаким образом не комментируют ситуацию, объясняя тем, что этим делом занимается Генеральная прокуратура. Дипломат допустил, что немецкое правительство скрывает настоящих виновных и стремится переключить внимание общественности на другие проблемы.Ранее посол России в Дании Владимир Барбин указал на незаинтересованность Дании в установлении истины подрыва «Севпотоков». Он отметил, что скандинавское государство препятствовало инициированию независимого международного расследования подрывов газопроводов.В сентябре 2022 года зарегистрировали два взрыва на маршрутах залегания трубопроводов «Северный поток» и «Северный поток — 2». Президент России Владимир Путин заявил, что взрыв был диверсией, направленной на уничтожение общеевропейской энергетической инфраструктуры.","00:06, 25 декабря 2024",Мир
1,https://lenta.ru/news/2024/12/24/na-ukraine-nazvali-glavnoe-uslovie-dlya-zaversheniya-konflikta/,На Украине назвали главное условие для завершения конфликта,Дубинский: Зеленский — главное препятствие для мира на Украине,"Президент Украины Владимир Зеленский является главным препятствием для разрешения конфликта с Россией. Такое мнение высказал депутат Верховной Рады Александр Дубинский в своем Telegram-канале.По его словам, украинцы хотят мира и не поддерживают продолжение боевых действий, несмотря на создаваемую руководством страны видимость «жажды войны в обществе». «Они являются военными преступниками, которые сделали своим бизнесом продажу территорий Украины [президенту России Владимиру] Путину, а жизней украинцев — [главе США Джо] Байдену», — заявил политик.Дубинский считает, что главным условием для завершения конфликта является отставка Зеленского — «главного продавца горя и смерти».Ранее депутат заявил, что любой шаг в сторону мира на Украине ведет к признанию Зеленским своей лжи. По его словам, глава государства лгал о смысле войны.","00:10, 25 декабря 2024",Бывший СССР
2,https://lenta.ru/news/2024/12/25/25-dekabrya-kakoy-prazdnik-segodnya-otmechayut-v-rossii-i-mire/,25 декабря: какой праздник сегодня отмечают в России и мире,,"25 декабря в России отмечают Калмыцкий Новый год, а в мире — католическое Рождество. Православные верующие сегодня вспоминают святого Спиридона Тримифунтского. Свой день рождения празднует Константин Кинчев. Подробнее о торжествах, приметах и знаменитых именинниках 25 декабря — в материале «Ленты.ру».Праздники в России Праздники в миреКакой церковный праздник сегодняТрадиции 25 декабряКто родился 25 декабряПраздники в России НардуганДревний праздник зимнего солнцестояния отмечают башкиры и некоторые другие народы Поволжья. В переводе с древнетюркского «нар» означает «солнце», или «светило». Традиции Нардугана напоминают славянское празднование Коляды: люди надевают меха и маски животных, чтобы отпугнуть темные силы, разводят костры, чтобы помочь солнцу возродиться, а также ходят в гости и устраивают застолья.Фото: Zamir Usmanov / Globallookpress.comЗул, Калмыцкий Нoвый ГoдСогласно буддийской традиции, Зул (в переводе с калмыцкого — «лампада») отмечают 25 числа 10 месяца по лунному календарю. Корнями праздник уходит в далекую древность: изначально Зул обозначал рождение Вселенной, позже его стали приурочивать к кончине одного из тибетских лам — Чже Цонкапы.Новым годом праздник называют потому, что традиционно калмыки не имели своего личного дня рождения. Зато ежегодно, отмечая Зул, они прибавляли один год к своему возрасту. Так что начало нового года у них — еще и общенациональный День рождения, который сплочает народ.Праздники в миреКатолическое РождествоРождество для католиков — важнейший религиозный праздник. В Европе и США этот день отмечают с размахом, который можно сравнить с празднованием в России Нового года: к празднику наряжают елку, дворы и фасады домов украшают гирляндами, а входные двери — венками. Канун Рождества проводят в кругу семьи, а утром 25 декабря дети обнаруживают в носке у своей кровати или возле камина подарки от Санта-Клауса.Фото: Yuganov Konstantin / Shutterstock / FotodomДень туласи в ИндииТуласи, или священный базилик, в Индии применяют повсюду: для службы в храмах и проведения многочисленных обрядов, для приготовления чая и производства лекарств, в косметических целях и как приправу в кулинарии. В индуизме этот кустарник ассоциируется с богом Вишну
Вишну
В индуистской мифологии входит в триаду божеств, наряду с Брахмой и Шивой. Выполняет функции хранителя мироздания, а праздник в честь него знаменует начало сезона свадеб.Какие еще праздники отмечают в мире 25 декабря
День гравимассы;
День конституции на Тайване;
День семьи в Мозамбике;
Ханука.
Какой церковный праздник сегодняДень памяти Спиридона ТримифунтскогоСпиридон Тримифунтский почитается как чудотворец, один из великих святителей и иерархов христианской Церкви середины IV века. Став епископом, он принимал активное участие в развитии и распространении христианского учения, участвовал в Первом Вселенском соборе 325 года, где явил чудо. Согласно преданию, чтобы показать суть единства Троицы, святитель сжал кирпич так, что из него вырвалось пламя, вниз потекла вода, а в руках осталась глина. Спиридон объяснил: вот три стихии, а кирпич — один, так и в Троице ликов у Бога три, но сам Он един. Выслушав речь, многие еретики отказались от своих убеждений.Фото: Public domain / WikipediaКакие еще церковные праздники отмечают 25 декабря
День памяти преподобного Ферапонта Монзенского;
День памяти священномученика Александра, епископа Иерусалимского;
День памяти мученика Разумника (Синезия).
Традиции 25 декабряПо народному календарю, 25 декабря — Спиридонов день, или Спиридон Солнцеворот. Считается, что с этого дня солнце «поворачивается» в сторону лета.
Пасмурная погода на Спиридона — к ранней весне;
Если ветки вишни, срезанные в этот день зацветут на Рождество, год будет удачным;
Сегодня лучше не ходить в лес — велик риск разбудить медведя.
Кто родился 25 декабряКонстантин Кинчев (66 лет)Советский и российский музыкант, лидер рок-группы «Алиса». В конце 1980-х коллектив утвердился в качестве одного из самых популярных рок-ансамблей страны. Константин Кинчев написал слова и музыку для большинства песен группы. В общей сложности с коллективом он выпустил более 20 студийных альбомов, один из последних под названием «Дудка» вышел в  2022-м.Фото: Kirill Pochivalov / Russian Look / Globallookpress.comЭнни Леннокс (70 лет)Шотландская певица, автор песен Sweet Dreams и Walking on Broken Glass. Благодаря коммерческому успеху, ее признали «Самым успешным музыкантом Великобритании». Кроме того, Леннокс была удостоена премий «Оскар» (за исполнение песни в заключительной части фильма «Властелин колец»), «Грэмми» и целых восемь раз – BritAwards. В 2010 году она стала офицером Ордена Британской империи за благотворительную деятельность.Кто еще родился 25 декабря
Евгений Маргулис (69 лет) — советский и российский рок-музыкант;
Джереми Стронг (46 лет) — американский актер;
Армин ван Бюрен (48 лет) — нидерландский музыкальный продюсер и диджей;
Владислав Галкин (1971 — 2010) — российский актер.
","00:10, 25 декабря 2024",Россия
3,https://lenta.ru/news/2024/12/24/vozmozhnuyu-novuyu-pokupku-trampa-sochli-krupneyshey-v-istorii-ssha/,Возможную покупку Трампа сочли крупнейшей в истории США,NYP: приобретение Трампом Гренландии может стать крупнейшим в истории США,"Возможное присоединение Гренландии к Соединенным Штатам Америки, о котором высказывался избранный президент США Дональд Трамп, может стать самым крупным приобретением в истории государства. Об этом пишет газета New York Post (NYP).Отмечается, что более двухсот лет назад Соединенные Штаты заключили с Францией сделку по покупке владений суммарной площадью почти 828 тысяч квадратных миль (2,14 миллиона квадратных километров). В рамках соглашения, получившего название Луизианская покупка, к США перешли территории, на которых сейчас располагаются более пятнадцати штатов, включая Луизиану. Сделка с Парижем стала самой крупной из осуществленных за всю историю США, указывает NYP.«План избранного президента Дональда Трампа по покупке Гренландии станет крупнейшим территориальным приобретением США в истории, превзойдя даже Луизианскую покупку 1803 года, которая на тот момент почти удвоила территорию Америки», — утверждается в материале.Материалы по теме:«Это катастрофа»Почему в США самая дорогая и некачественная медицина в мире и сможет ли команда Трампа это изменить?21 декабря 2024Трамп предложил отправить европейские войска на Украину.Он хочет видеть Киев сильным и хорошо вооруженным13 декабря 2024Территория Гренландии составляет 836,3 тысячи квадратных миль (2,16 миллиона квадратных километров). Таким образом, в случае, если американский политик сможет заключить соглашение между Штатами и Данией, новая покупка побьет предыдущий рекорд, установленный президентом США Томасом Джефферсоном.Ранее Трамп написал в соцсети, что «в целях национальной безопасности и свободы во всем мире Соединенные Штаты Америки считают контроль над Гренландией абсолютной необходимостью». До этого с призывом «купить» Гренландию к республиканцу обратился бывший глава аппарата Совета национальной безопасности Белого дома Александр Грэй.","00:13, 25 декабря 2024",Интернет и СМИ
4,https://lenta.ru/news/2024/12/25/v-rossii-nazvali-veroyatnye-prichiny-krusheniya-sudna-ursa-major/,В России назвали вероятные причины крушения судна Ursa Major,Депутат Колесник назвал теракт одной из версий крушения судна Ursa Major,"В качестве наиболее вероятных причин крушения российского торгового судна Ursa Major в Средиземном море у берегов Испании и Алжира рассматриваются теракт и взрыв главной энергетической установки. Об этом газете «Взгляд» рассказал депутат Госдумы, бывший морской офицер Андрей Колесник.Он обратил внимание, что крупное судно слишком быстро пошло ко дну. Также его насторожили странные совпадения, что ЧП произошло на большой глубине и вдали от берегов.При этом, отметил парламентарий, в случае взрыва главной энергетической установки сухогруз должен был остаться на плаву. Окончательные выводы можно будет сделать только при осмотре сухогруза, для этого у России имеются подходящие глубоководные аппараты, резюмировал Колесник.Ursa Major потерпело крушение днем 23 декабря. Флагман флота компании «Оборонлогистика» Ursa Major (в переводе с латыни «Большая Медведица») направлялся из Санкт-Петербурга во Владивосток с грузом портовых кранов и 45-тонных люковых крышек для новых ледоколов.В момент крушения на российском судне находились 16 членов экипажа. Все они являются гражданами РФ. Большую часть команды спасатели эвакуировали. Однако двух человек пока не смогли найти. Они считаются пропавшими без вести.","00:20, 25 декабря 2024",Россия
5,https://lenta.ru/news/2024/12/25/v-rossii-nazvali-veroyatnye-prichiny-krusheniya-sudna-ursa-major/,В России назвали вероятные причины крушения судна Ursa Major,Депутат Колесник назвал теракт одной из версий крушения судна Ursa Major,"В качестве наиболее вероятных причин крушения российского торгового судна Ursa Major в Средиземном море у берегов Испании и Алжира рассматриваются теракт и взрыв главной энергетической установки. Об этом газете «Взгляд» рассказал депутат Госдумы, бывший морской офицер Андрей Колесник.Он обратил внимание, что крупное судно слишком быстро пошло ко дну. Также его насторожили странные совпадения, что ЧП произошло на большой глубине и вдали от берегов.При этом, отметил парламентарий, в случае взрыва главной энергетической установки сухогруз должен был остаться на плаву. Окончательные выводы можно будет сделать только при осмотре сухогруза, для этого у России имеются подходящие глубоководные аппараты, резюмировал Колесник.Ursa Major потерпело крушение днем 23 декабря. Флагман флота компании «Оборонлогистика» Ursa Major (в переводе с латыни «Большая Медведица») направлялся из Санкт-Петербурга во Владивосток с грузом портовых кранов и 45-тонных люковых крышек для новых ледоколов.В момент крушения на российском судне находились 16 членов экипажа. Все они являются гражданами РФ. Большую часть команды спасатели эвакуировали. Однако двух человек пока не смогли найти. Они считаются пропавшими без вести.","00:20, 25 декабря 2024",Россия
6,https://lenta.ru/news/2024/12/25/v-irane-razblokirovali-whatsapp-i-google-play/,В Иране разблокировали WhatsApp и Google Play,Власти Ирана одобрили разблокировку WhatsApp и Google Play,"Власти Ирана одобрили решение о разблокировке в стране мессенджера WhatsApp и магазина приложений Google Play. Об этом сообщает агентство IRNA.Утверждается, что решение было принято большинством голосов на Высшем совете страны по информационной безопасности. При этом Instagram, Facebook (запрещенные в России соцсети; принадлежат компании Meta, признанной экстремистской организацией и запрещенной в РФ), X, YouTube, TikTok и Telegram все еще запрещены к использованию в Иране.WhatsApp и Google Play были заблокированы в стране в сентябре 2022 года после протестов из-за смерти 22-летней Махсы Амини, которую обвинили в неправильном ношении хиджаба.Ранее заместитель главы комитета Госдумы по информполитике Антон Горелкин усомнился в скорой блокировке мессенджера WhatsApp в России. Он допустил, что WhatsApp может пойти на диалог с Роскомнадзором для сохранения позиций на российском рынке.","00:23, 25 декабря 2024",Мир
7,https://lenta.ru/news/2024/12/25/katolicheskoe-rozhdestvo/,"Католическое Рождество в 2024 году: дата, история и традиции праздника",,"В мире более 1,3 миллиарда католиков — это 17,7 процента всего населения Земли. В России католическое Рождество будут праздновать около миллиона христиан. «Лента.ру» называет дату празднования в 2024 году, рассказывает об истории и традициях торжества, а также предлагает идеи для подарков.ДатаИстория праздникаКатолики в миреСуть праздникаТрадиции Как католики отмечают РождествоЧто подаритьДатаФот: PixelDarkroom / Shutterstock / FotodomРождество Христово — один из важнейших праздников в католических странах. В отличие от шумного и компанейского Нового года, это праздник тихий и семейный, его принято отмечать с родными.Католики празднуют Рождество в ночь с 24 на 25 декабря. 
В 2024 году это ночь со вторника на средуВ эти же дни праздник отмечают протестанты, живущие по григорианскому календарю. Кроме того, в эти даты Рождество празднуют 11 из 15 поместных православных церквей мира
Поместная православная церковь
Вселенская православная церковь состоит из 15 поместных православных церквей. У каждой из них есть административная независимость (автокефалия). К поместным церквям относятся: Албанская, Александрийская, Американская, Антиохийская, Болгарская, Грузинская, Иерусалимская, Кипрская, Константинопольская, Польская, Румынская, Русская, Сербская, Церковь Чешских земель и Словакии, Элладская., которые придерживаются новоюлианского календаря (он совпадает с григорианским).В отличие от православных, католики отмечают католический  праздник Рождества восемь дней — этот период называют октавой.История праздникаФото: Max Rossi / ReutersРождество — большое торжество: христиане празднуют день рождения сына Божьего Иисуса Христа. Историк Секст Юлий Африкан
Секст Юлий Африкан
Секст Юлий Африкан (около 180-250 года нашей эры) был первым известным христианским историком, составившим универсальную хронологию. был первым, кто назвал 25 декабря датой рождения Иисуса. В церковный календарь дата была внесена в 221 году.В 337 году Папа Римский Юлий I официально утвердил дату праздника, заменив языческое торжество христианским. Дело в том, что в Римской империи 25 декабря язычники отмечали день рождения Непобедимого Солнца (Dies natalis Solis Invicti). Праздник приходился на дни, в которые обычно наступало зимнее солнцестояние, и предвещал приближение весны и лета.Почему католики и православные отмечают Рождество в разные даты?Изначально церковь устанавливала праздники по юлианскому календарю, впервые введенному еще в 45 году до нашей эры. Длительность года по юлианскому календарю не соответствовала сроку, за который Земля совершает оборот вокруг Солнца. Поэтому со временем возникли сложности с расчетом дня Пасхи, появились ошибки и назрела необходимость коррекции календаря.В XVI веке Папа Римский Григорий XIII утвердил астрономически более точный календарь, который называют «новым стилем». Григорианский календарь сдвинули на несколько дней вперед, чтобы наверстать упущенное время, и добавили более точный расчет високосных лет. Так, 1582 году в Риме после 4 октября наступило сразу 15 число — счет дней сдвинули на 10 суток вперед.Россия, в те годы — РСФСР, перешла на григорианский календарь в 1918 году, но православная церковь не стала менять традиций. Поэтому до сих пор православные христиане, следуя юлианскому календарю, празднуют Рождество 7 января. Разница в датах объясняется тем, что юлианский календарь отстает от григорианского на 13 дней.Католики в миреКатолицизм — основная религия во многих европейских странах, хотя зародился он на Ближнем Востоке. Сейчас большинство современных католиков также живут вне Европы. По прогнозам исследователей, к 2050 году 75 процентов католиков будут жить за пределами западных стран.Топ-11 стран по числу католиков
Бразилия — 105,3 миллиона жителей
Мексика — 91,2 миллиона жителей
Филиппины — 86 миллиона жителей
США — 67 миллиона жителей
Италия — 42 миллиона жителей
Конго — 37 миллиона жителей
Колумбия — 34 миллиона жителей
Нидерланды — 33,3 миллиона жителей
Франция — 31.3 миллиона жителей
Польша — 27,1 миллиона жителей
В Африке самая молодая по возрасту прихожан католическая церковь. При этом с 1900 года доля католиков на этом континенте увеличилась с 1,9 миллиона до приблизительно 236 миллионов.Суть праздникаФото: AleksandarNakic / Getty ImagesВ этот день христиане празднуют рождение на земле сына Божьего Иисуса Христа: с одной стороны, они отмечают сам факт чудесного боговоплощения в мире людей, а с другой — воспринимают это как проявление безмерной любви Господа, пославшего своего cына для спасения человечества.В Библии рождение Иисуса описано в Евангелиях от Матфея и Луки.Но ангел сказал им: «Не бойтесь. Я пришел сообщить вам весть, что принесет великую радость всему народу! Сегодня в городе Давида родился ваш Спаситель — Христос, Господь!»Евангелие от Луки 2:10-11Родит же Сына, и наречешь Ему имя Иисус, ибо Он спасет людей Своих от грехов ихЕвангелие от Матфея 1:21Традиции Фото: Mandoga Media / IMAGO / Globallookpress.comРождественская октаваВосьмидневный праздничный период начинается 25 декабря в Рождество Христово и заканчивается 1 января в Торжество Пресвятой Богородицы. Рождество отмечают как октаву с VII века. Сегодня это одна из двух католических октав, вторая — Пасха.Памятные дни рождественской октавы
25 декабря — Рождество Христово
26 декабря — Память Стефана Первомученика
27 декабря — Память Иоанна Богослова
28 декабря — Память Невинных младенцев Вифлеемских
29 декабря — Память Фомы Бекета
воскресенье между 26 и 31 декабря или 30 декабря, если в этот период нет воскресенья — Праздник Святого Семейства
31 декабря — Память Сильвестра I, Папы Римского
1 января — Торжество Пресвятой Богородицы
Во время рождественской октавы на мессах ежедневно поют древний богослужебный гимн «Глория». Кроме того, для проведения службы в эти восемь дней священники облачаются в белое. Однако есть исключения, когда священнослужители надевают красное — символ мученичества: в День святого Стефана Первомученика и День памяти невинных младенцев Вифлеемских.Главные праздники в католицизме
1 мая — день памяти Святого Иосифа-Труженика
9 мая — Вознесение Господне
19 мая — Сошествие Святого Духа (Пятидесятница), торжество
30 мая — торжество Пресвятейшего Тела и Крови Христа (Божье Тело)
24 июня — Рождество Святого Иоанна Крестителя, торжество
29 июня — Святых апостолов Петра и Павла, торжество
6 августа — Преображение Господне, праздник
9 декабря — торжество Непорочного Зачатия Девы Марии
29 декабря — Святое Семейство Иисус, Мария и Иосиф, праздник
12 дней католического РождестваУ католиков есть традиция праздновать Рождество дольше октавы: 12-дневный период начинается с Рождества (25 декабря) и заканчивается праздником Богоявления (6 января) — это момент встречи Сына Божьего с тремя волхвами.Христиане верят, что путь волхвов, которые отправились поклониться новорожденному Иисусу после появления на небе Вифлеемской звезды, занял как раз 12 дней.Когда же Иисус родился в Вифлееме Иудейском во дни царя Ирода, пришли в Иерусалим волхвы с востока и говорят: где родившийся Царь Иудейский? ибо мы видели звезду Его на востоке и пришли поклониться Ему Евангелие от Матфея 2:1-2Как католики отмечают РождествоФото: Алексей Филиппов / РИА НовостиМессаДля всех христиан Рождество — важнейший праздник в календаре наряду с Пасхой. В праздник проводят три мессы: ночную, утреннюю и дневную.Полуночная служба известна как месса ангелов. По преданию, Иисус родился в полночь в яслях в Вифлееме, поэтому поздняя ночная месса служится в честь часа, когда родился Иисус. Традиция полуночной мессы зародилась на Востоке. К 430 году этот обычай дошел до Запада, когда Папа Римский Сикст III провел мессу в базилике Санта-Мария-Маджоре.Месса на рассвете, известная как пастырская, проходит одновременно с восходом солнца. Солнечный свет символизирует свет Иисуса, пришедшего в мир ради спасения людей от греха.Дневную королевскую мессу служат при полном свете дня. Во время службы читают Евангелие от Иоанна 1:1-18.Украшение домаФото: Erwan Hesry / UnsplashРождественское дерево стало традицией католического Рождества еще в XV веке. В 1494 году гуманист эпохи Возрождения Себастьян Брант описал обычай ставить в домах ветки ели. В XVII веке рождественскую елку украшали яблоками и свечами.Адвент в римско-католической церкви — время подготовки к Рождеству. Он длится четыре недели и включает четыре воскресеньяВ домах ставят еловый адвент-венок с четырьмя свечами, обозначающими четыре воскресенья Адвента.Предок адвент-венка — еловый венок с 24 свечами (поскольку с 1 декабря 24 дня до Рождества), позже количество свечей сократили из соображений безопасности. Вместо ежедневного зажигания свечей сегодня принято открывать ячейки адвент-календарей.Что такое адвент-календарь?Это календари с отсеками для подарков — по одному на каждый день с 1 декабря до Рождества. За заслонкой или дверцей скрывается сюрприз: сладость, игрушка, записка с пожеланием или с заданием. Праздничный столФото: VICUSCHKA / Getty ImagesИталияВ Италии существует множество традиционных рождественских блюд. Они сильно отличаются от региона к региону, различается и время празднования: в центре и на юге страны главная трапеза — ужин 24 декабря, а на севере — обед 25 числа.Соленая треска — одно из главных блюд на столах в Лацио, где также подают жареные овощи. В Риме в канун Рождества обязательно подают рыбный суп или пасту с брокколи в бульоне из ската. Кроме того, в центральном регионе подают спагетти с анчоусами, жареного или сушеного угря и салат из цикория. В качестве десерта подают сухофрукты и панеттоне.ГерманияВ Германии невозможно представить Рождества без кекса штоллен. Его готовят с апельсиновыми цукатами и марципаном. Кроме того, на праздничном столе обязательно присутствует глинтвейн. Вино настаивают на мускатном орехе, ванили и звездчатом анисе, а затем добавляют немного меда.ВеликобританияНи одно британское Рождество не обходится без пудинга. В него добавляют смесь сухофруктов, засахаренную цитрусовую цедру, яблоки и бренди, который придает блюду глубокий и сложный вкус.ЮАРМаринованная рыба — традиционный южноафриканский деликатес, особенно популярный в Кейптауне в период Рождества. Рыбу маринуют в уксусе со специями.Изначально блюдо подавали на Пасху, поскольку во времена Капской колонии
Капская колония
Первая голландская колония в Южной Африке с центром в городе Кейптауне. Впоследствии земли перешли англичанам. рабы получали отпуск только в этот праздник. Местные усердно готовились к торжеству и специально готовили еду заранее. Впоследствии блюдо стало традиционным и на Рождество.Что подаритьФото: freepik / FreepikЕлочные игрушкиВсегда актуально, ведь чем богаче коллекция игрушек, тем приятнее украшать елку. Тем более что стеклянные изделия время от времени бьются. Такой подарок можно персонализировать: сделать самостоятельно, раскрасить или же просто подписать.СвечаИдеальный подарок для самого темного времени года. Можно выбрать ароматизированную, но нюансы желательно оговорить с получателем презента заранее. Одним нравятся свечи из линейки товаров парфюмерных брендов, другие любят гастрономические ароматы вроде ванили или корицы, а третьим важно, чтобы не пахло вообще ничем.ПанеттонеПанеттоне — это традиционный итальянский рождественский хлеб с фруктами и орехами. Он символизирует изобилие и радость, что идеально соответствует духу Рождества. Выпечку можно найти в самых разных вариантах: без начинки, с орехами и с цукатами.","00:27, 25 декабря 2024",Россия
8,https://lenta.ru/news/2024/12/24/kalashnikov-postavil-zakazchiku-takticheskie-perchatki/,«Калашников» поставил заказчику тактические перчатки,«Калашников» поставил заказчику партию огнестойких тактических перчаток,"Концерн «Калашников» поставил заказчику партию огнестойких тактических перчаток, защищающих руки от огня и механических воздействий. Об этом сообщила пресс-служба концерна.«ООО ""Триада-ТКО"" (концерн ""Калашников"") отгрузило большую партию тактических перчаток в адрес заказчика. Они являются частью новой системы защиты рук от механических воздействий, а также воздействия пламени и предназначены для использования в теплую и жаркую погоду», — говорится в сообщении.В концерне отметили, что изделие адаптировано для работы с оружием и гаджетами, а материалы перчаток не плавятся и не пригорают к поверхностям под влиянием высоких температур.Материалы по теме:Российские бойцы в зоне СВО массово улучшают свое оружие.Как тюнинг делает его тише, удобнее и смертоноснее?17 ноября 2023Универсальный солдат.Как в России защищают бойцов и создают для них экипировку солдат будущего20 октября 2023Перчатки изготовлены из натуральной кожи и негорючего трикотажа. Для работы с сенсорными устройствами в них интегрировали технологию Touch Screen. Также изделие получило регуляторы объема запястья на ленте-липучке и петли для размещения перчаток на снаряжении.Ранее в декабре стало известно, что «Триада-ТКО» поставила новые комплекты обмундирования и снаряжения, включая комплект ВКПО 3.2, заказчику для войсковых испытаний в условиях пустынного и арктического климата.","00:27, 25 декабря 2024",Наука и техника
9,https://lenta.ru/news/2024/12/25/tigr-rasterzal-pensionerku/,Тигр растерзал пенсионерку,"В Индии тигр съел пенсионерку, которая работала в поле","Тигр напал на жительницу Индии и растерзал ее. Об этом сообщает Times of India.Трагедия произошла в понедельник, 23 января, недалеко от лесного массива Кавитпет в штате Махараштра. 60-летняя женщина работала на своем поле, когда на нее набросился тигр. Других людей, которые могли бы ей помочь, рядом не оказалось. К тому времени, когда тело нашли, хищник успел частично его съесть.По словам представителей департамента лесного хозяйства, нападение произошло около четырех часов дня. Незадолго до этого патрульные группы распространили предупреждение, что неподалеку замечен тигр. В отличие от других фермеров, пенсионерка проигнорировала их слова.Материалы по теме:«Я вырвала сына из пасти леопарда»Дикие звери приходят в индийскую деревню и калечат людей. Даже дети берут в руки топоры13 января 2021Самый страшный зверьБегемот-каннибал и кровавый фестиваль на лучших снимках дикой природы12 сентября 2019К вечеру в окрестностях были установлены камеры-ловушки для наблюдения за передвижениями тигра. Также было усилено патрулирование.Это 29-й случай нападения диких животных со смертельным исходом в округе Чандрапур в этом году, причем виновниками большинства инцидентов были тигры.Ранее в Индии тигр растерзал пожилую женщину в национальном парке Панна, штат Мадхья-Прадеш. Он схватил 65-летнюю Фулию Бай и утащил в лес на глазах у ее подруг.","00:27, 25 декабря 2024",Из жизни
